freq(1/um),Fp
1.533968061944976258e+00,0.000000000000000000e+00
1.534789463852309632e+00,0.000000000000000000e+00
1.535610865759643007e+00,0.000000000000000000e+00
1.536432267666976159e+00,0.000000000000000000e+00
1.537253669574309534e+00,0.000000000000000000e+00
1.538075071481642908e+00,0.000000000000000000e+00
1.538896473388976283e+00,0.000000000000000000e+00
1.539717875296309435e+00,0.000000000000000000e+00
1.540539277203642810e+00,0.000000000000000000e+00
1.541360679110976184e+00,0.000000000000000000e+00
1.542182081018309558e+00,0.000000000000000000e+00
1.543003482925642711e+00,0.000000000000000000e+00
1.543824884832976085e+00,-2.309084604715672739e+01
1.544646286740309460e+00,-1.393284193284193329e+01
1.545467688647642834e+00,0.000000000000000000e+00
1.546289090554975987e+00,0.000000000000000000e+00
1.547110492462309361e+00,0.000000000000000000e+00
1.547931894369642736e+00,-1.725667475728155509e+01
1.548753296276976110e+00,0.000000000000000000e+00
1.549574698184309263e+00,0.000000000000000000e+00
1.550396100091642637e+00,0.000000000000000000e+00
1.551217501998976012e+00,0.000000000000000000e+00
1.552038903906309386e+00,0.000000000000000000e+00
1.552860305813642539e+00,4.503513596089215199e+00
1.553681707720975913e+00,6.172831065837151021e-01
1.554503109628309288e+00,0.000000000000000000e+00
1.555324511535642662e+00,0.000000000000000000e+00
1.556145913442975814e+00,0.000000000000000000e+00
1.556967315350309189e+00,0.000000000000000000e+00
1.557788717257642563e+00,2.300701723988564318e+00
1.558610119164975938e+00,0.000000000000000000e+00
1.559431521072309312e+00,3.278943278943279083e+00
1.560252922979642465e+00,0.000000000000000000e+00
1.561074324886975839e+00,3.753345155569885350e+00
1.561895726794309214e+00,0.000000000000000000e+00
1.562717128701642588e+00,0.000000000000000000e+00
1.563538530608975741e+00,1.875802189505473727e+00
1.564359932516309115e+00,5.358839388881756483e-01
1.565181334423642490e+00,0.000000000000000000e+00
1.566002736330975864e+00,0.000000000000000000e+00
1.566824138238309017e+00,3.717517096265123833e+00
1.567645540145642391e+00,0.000000000000000000e+00
1.568466942052975766e+00,0.000000000000000000e+00
1.569288343960309140e+00,-4.274339991618941043e-02
1.570109745867642292e+00,0.000000000000000000e+00
1.570931147774975667e+00,0.000000000000000000e+00
1.571752549682309041e+00,2.614634146341463516e+00
1.572573951589642416e+00,0.000000000000000000e+00
1.573395353496975568e+00,0.000000000000000000e+00
1.574216755404308943e+00,-7.849642367980520508e-01
1.575038157311642317e+00,0.000000000000000000e+00
1.575859559218975692e+00,0.000000000000000000e+00
1.576680961126308844e+00,-1.441088563787950250e+00
1.577502363033642219e+00,0.000000000000000000e+00
1.578323764940975593e+00,0.000000000000000000e+00
1.579145166848308968e+00,-1.155935347111817640e-01
1.579966568755642342e+00,0.000000000000000000e+00
1.580787970662975495e+00,5.767776558116843866e-01
1.581609372570308869e+00,0.000000000000000000e+00
1.582430774477642244e+00,-8.360062234456345776e-01
1.583252176384975618e+00,0.000000000000000000e+00
1.584073578292308770e+00,-6.501501939397474894e-01
1.584894980199642145e+00,0.000000000000000000e+00
1.585716382106975519e+00,1.171063686775331902e+00
1.586537784014308894e+00,-7.513864983744501513e-01
1.587359185921642046e+00,0.000000000000000000e+00
1.588180587828975421e+00,0.000000000000000000e+00
1.589001989736308795e+00,0.000000000000000000e+00
1.589823391643642170e+00,0.000000000000000000e+00
1.590644793550975322e+00,0.000000000000000000e+00
1.591466195458308697e+00,0.000000000000000000e+00
1.592287597365642071e+00,0.000000000000000000e+00
1.593108999272975446e+00,-2.883757650735772615e-01
1.593930401180308598e+00,0.000000000000000000e+00
1.594751803087641973e+00,0.000000000000000000e+00
1.595573204994975347e+00,0.000000000000000000e+00
1.596394606902308722e+00,-1.023433494000615340e+00
1.597216008809641874e+00,0.000000000000000000e+00
1.598037410716975248e+00,8.854185727355901037e+00
1.598858812624308623e+00,0.000000000000000000e+00
1.599680214531641997e+00,0.000000000000000000e+00
1.600501616438975372e+00,-1.326887417218542975e-01
1.601323018346308524e+00,5.485879797248370826e-01
1.602144420253641899e+00,0.000000000000000000e+00
1.602965822160975273e+00,0.000000000000000000e+00
1.603787224068308648e+00,0.000000000000000000e+00
1.604608625975641800e+00,0.000000000000000000e+00
1.605430027882975175e+00,-2.243844575532187857e-01
1.606251429790308549e+00,-3.347241831383622190e-01
1.607072831697641924e+00,0.000000000000000000e+00
1.607894233604975076e+00,1.031157270029673528e-01
1.608715635512308451e+00,0.000000000000000000e+00
1.609537037419641825e+00,1.028289949385394086e+00
1.610358439326975200e+00,0.000000000000000000e+00
1.611179841234308352e+00,1.586327402957486088e+00
1.612001243141641726e+00,0.000000000000000000e+00
1.612822645048975101e+00,1.009590183464379232e+00
1.613644046956308475e+00,0.000000000000000000e+00
1.614465448863641628e+00,-2.909090909090908950e-01
1.615286850770975002e+00,0.000000000000000000e+00
1.616108252678308377e+00,0.000000000000000000e+00
1.616929654585641751e+00,0.000000000000000000e+00
1.617751056492974904e+00,8.429820677440779120e-01
1.618572458400308278e+00,0.000000000000000000e+00
1.619393860307641653e+00,-1.997455984493619718e+00
1.620215262214975027e+00,0.000000000000000000e+00
1.621036664122308402e+00,0.000000000000000000e+00
1.621858066029641554e+00,2.282913165266106326e+00
1.622679467936974929e+00,0.000000000000000000e+00
1.623500869844308303e+00,0.000000000000000000e+00
1.624322271751641455e+00,4.993691024797015654e-01
1.625143673658974830e+00,3.832570509648688617e+00
1.625965075566308204e+00,0.000000000000000000e+00
1.626786477473641579e+00,0.000000000000000000e+00
1.627607879380974953e+00,0.000000000000000000e+00
1.628429281288308106e+00,3.360304895924948632e+00
1.629250683195641480e+00,9.636088709677419484e-01
1.630072085102974855e+00,2.131040892193308611e+00
1.630893487010308229e+00,-1.577034883720930258e+00
1.631714888917641382e+00,0.000000000000000000e+00
1.632536290824974756e+00,0.000000000000000000e+00
1.633357692732308131e+00,0.000000000000000000e+00
1.634179094639641505e+00,0.000000000000000000e+00
1.635000496546974658e+00,-1.520880044843049284e+00
1.635821898454308032e+00,0.000000000000000000e+00
1.636643300361641407e+00,0.000000000000000000e+00
1.637464702268974781e+00,0.000000000000000000e+00
1.638286104176307933e+00,6.007564003103181172e+00
1.639107506083641308e+00,2.591666666666666785e+00
1.639928907990974682e+00,0.000000000000000000e+00
1.640750309898308057e+00,0.000000000000000000e+00
1.641571711805641209e+00,-5.920036764705882604e+01
1.642393113712974584e+00,-3.655620270385171455e-01
1.643214515620307958e+00,0.000000000000000000e+00
1.644035917527641333e+00,0.000000000000000000e+00
1.644857319434974485e+00,0.000000000000000000e+00
1.645678721342307860e+00,0.000000000000000000e+00
1.646500123249641234e+00,0.000000000000000000e+00
1.647321525156974609e+00,0.000000000000000000e+00
1.648142927064307983e+00,0.000000000000000000e+00
1.648964328971641136e+00,2.014449541284403722e+01
1.649785730878974510e+00,2.130706452435603193e+00
1.650607132786307885e+00,0.000000000000000000e+00
1.651428534693641259e+00,-8.923718064866824340e-02
1.652249936600974412e+00,2.400669401857050411e-01
1.653071338508307786e+00,2.845182446103397544e-01
1.653892740415641160e+00,-1.872243752505679537e-01
1.654714142322974535e+00,0.000000000000000000e+00
1.655535544230307687e+00,0.000000000000000000e+00
1.656356946137641062e+00,0.000000000000000000e+00
1.657178348044974436e+00,0.000000000000000000e+00
1.657999749952307811e+00,0.000000000000000000e+00
1.658821151859640963e+00,0.000000000000000000e+00
1.659642553766974338e+00,1.241576188693373162e+00
1.660463955674307712e+00,0.000000000000000000e+00
1.661285357581641087e+00,0.000000000000000000e+00
1.662106759488974461e+00,4.685211267605633445e+00
1.662928161396307614e+00,0.000000000000000000e+00
1.663749563303640988e+00,0.000000000000000000e+00
1.664570965210974363e+00,-1.215601420328450977e-01
1.665392367118307515e+00,0.000000000000000000e+00
1.666213769025640890e+00,0.000000000000000000e+00
1.667035170932974264e+00,1.587442440521872611e-01
1.667856572840307638e+00,0.000000000000000000e+00
1.668677974747641013e+00,0.000000000000000000e+00
1.669499376654974165e+00,0.000000000000000000e+00
1.670320778562307540e+00,3.482559567673790268e-01
1.671142180469640914e+00,3.262247191011236058e+00
1.671963582376974067e+00,-4.217271293375394192e-01
1.672784984284307441e+00,0.000000000000000000e+00
1.673606386191640816e+00,1.701082578046324301e+01
1.674427788098974190e+00,0.000000000000000000e+00
1.675249190006307565e+00,0.000000000000000000e+00
1.676070591913640717e+00,5.105092792403970181e-01
1.676891993820974092e+00,0.000000000000000000e+00
1.677713395728307466e+00,0.000000000000000000e+00
1.678534797635640841e+00,0.000000000000000000e+00
1.679356199542973993e+00,-2.156259183073758301e+00
1.680177601450307368e+00,0.000000000000000000e+00
1.680999003357640742e+00,0.000000000000000000e+00
1.681820405264974116e+00,-1.081230743608959877e+00
1.682641807172307269e+00,-7.061455584872471825e+00
1.683463209079640643e+00,0.000000000000000000e+00
1.684284610986974018e+00,-1.323385689354275696e+00
1.685106012894307392e+00,1.185390858607432651e+00
1.685927414801640545e+00,0.000000000000000000e+00
1.686748816708973919e+00,0.000000000000000000e+00
1.687570218616307294e+00,0.000000000000000000e+00
1.688391620523640668e+00,-3.647381129271916933e+00
1.689213022430974043e+00,-1.748280277164089069e+00
1.690034424338307195e+00,-2.874522127907730429e-01
1.690855826245640570e+00,0.000000000000000000e+00
1.691677228152973944e+00,9.773999005222581138e-01
1.692498630060307097e+00,2.144726130945458775e-01
1.693320031967640471e+00,1.868343049105819498e+00
1.694141433874973846e+00,1.034064830751577846e+00
1.694962835782307220e+00,0.000000000000000000e+00
1.695784237689640594e+00,0.000000000000000000e+00
1.696605639596973747e+00,0.000000000000000000e+00
1.697427041504307121e+00,0.000000000000000000e+00
1.698248443411640496e+00,0.000000000000000000e+00
1.699069845318973870e+00,5.950423869680850686e+00
1.699891247226307023e+00,0.000000000000000000e+00
1.700712649133640397e+00,1.086103433226651038e+00
1.701534051040973772e+00,2.608262711864406924e+01
1.702355452948307146e+00,0.000000000000000000e+00
1.703176854855640299e+00,0.000000000000000000e+00
1.703998256762973673e+00,0.000000000000000000e+00
1.704819658670307048e+00,9.233048476524746695e-01
1.705641060577640422e+00,0.000000000000000000e+00
1.706462462484973575e+00,0.000000000000000000e+00
1.707283864392306949e+00,0.000000000000000000e+00
1.708105266299640324e+00,1.027648709507807068e+00
1.708926668206973698e+00,0.000000000000000000e+00
1.709748070114307072e+00,0.000000000000000000e+00
1.710569472021640225e+00,0.000000000000000000e+00
1.711390873928973599e+00,0.000000000000000000e+00
1.712212275836306974e+00,0.000000000000000000e+00
1.713033677743640126e+00,0.000000000000000000e+00
1.713855079650973501e+00,0.000000000000000000e+00
1.714676481558306875e+00,5.120974587338069206e+00
1.715497883465640250e+00,0.000000000000000000e+00
1.716319285372973624e+00,9.353714725261063734e+00
1.717140687280306777e+00,0.000000000000000000e+00
1.717962089187640151e+00,0.000000000000000000e+00
1.718783491094973526e+00,0.000000000000000000e+00
1.719604893002306900e+00,1.186887993535988883e+01
1.720426294909640053e+00,0.000000000000000000e+00
1.721247696816973427e+00,0.000000000000000000e+00
1.722069098724306802e+00,0.000000000000000000e+00
1.722890500631640176e+00,0.000000000000000000e+00
1.723711902538973328e+00,0.000000000000000000e+00
1.724533304446306703e+00,0.000000000000000000e+00
1.725354706353640077e+00,0.000000000000000000e+00
1.726176108260973452e+00,-9.532856331686324625e-01
1.726997510168306604e+00,0.000000000000000000e+00
1.727818912075639979e+00,0.000000000000000000e+00
1.728640313982973353e+00,0.000000000000000000e+00
1.729461715890306728e+00,0.000000000000000000e+00
1.730283117797640102e+00,0.000000000000000000e+00
1.731104519704973255e+00,0.000000000000000000e+00
1.731925921612306629e+00,0.000000000000000000e+00
1.732747323519640004e+00,0.000000000000000000e+00
1.733568725426973156e+00,0.000000000000000000e+00
1.734390127334306531e+00,0.000000000000000000e+00
1.735211529241639905e+00,0.000000000000000000e+00
1.736032931148973280e+00,0.000000000000000000e+00
1.736854333056306654e+00,0.000000000000000000e+00
1.737675734963639806e+00,0.000000000000000000e+00
1.738497136870973181e+00,0.000000000000000000e+00
